region,ip,prefixlength,state
afrinic,41.252.0.0,14,allocated
afrinic,41.208.64.0,18,allocated
afrinic,41.74.64.0,20,allocated
afrinic,41.242.16.0,20,allocated
afrinic,62.68.32.0,19,allocated
afrinic,62.240.32.0,19,allocated
afrinic,102.69.0.0,17,allocated
afrinic,102.38.0.0,19,allocated
afrinic,102.68.128.0,21,allocated
afrinic,102.164.96.0,21,allocated
afrinic,102.218.196.0,22,allocated
afrinic,102.218.172.0,22,allocated
afrinic,102.216.136.0,22,allocated
afrinic,102.213.44.0,22,allocated
afrinic,102.214.164.0,22,allocated
afrinic,102.214.104.0,22,allocated
afrinic,102.213.228.0,22,allocated
afrinic,102.23.220.0,22,allocated
afrinic,102.215.196.0,22,allocated
afrinic,102.221.8.0,22,allocated
afrinic,102.221.224.0,22,allocated
afrinic,102.220.140.0,22,allocated
afrinic,102.221.56.0,22,allocated
afrinic,102.223.156.0,22,allocated
afrinic,102.222.252.0,23,allocated
afrinic,102.219.227.0,24,allocated
afrinic,154.127.64.0,20,allocated
afrinic,154.73.128.0,21,allocated
afrinic,154.73.52.0,22,allocated
afrinic,154.73.108.0,22,allocated
afrinic,154.73.28.0,22,allocated
afrinic,156.38.32.0,19,allocated
afrinic,160.19.96.0,21,allocated
afrinic,164.160.144.0,22,allocated
afrinic,165.16.0.0,17,allocated
afrinic,169.239.92.0,22,allocated
afrinic,169.239.116.0,22,allocated
afrinic,195.234.120.0,22,allocated
afrinic,196.60.110.0,24,assigned
afrinic,196.60.90.0,24,assigned
afrinic,197.215.128.0,19,allocated
afrinic,197.231.228.0,22,allocated
ripencc,5.63.0.0,21,allocated
ripencc,185.10.240.0,22,allocated
