region,ip,prefixlength
lacnic,2800:f0::,32
lacnic,2800:510::,32
lacnic,2800:640::,32
lacnic,2800:860::,32
lacnic,2800:9b0::,32
lacnic,2800:b90::,32
lacnic,2800:c20::,32
lacnic,2803:210::,32
lacnic,2803:4c0::,32
lacnic,2803:540::,32
lacnic,2803:690::,32
lacnic,2803:980::,32
lacnic,2001:1330::,30
lacnic,2001:1334::,30
lacnic,2001:13d8::,32
lacnic,2800:d300::,29
lacnic,2803:1300::,32
lacnic,2803:1910::,32
lacnic,2803:1b20::,32
lacnic,2803:1da0::,32
lacnic,2803:1de0::,32
lacnic,2803:2040::,32
lacnic,2803:21a0::,32
lacnic,2803:22a0::,32
lacnic,2803:2cc0::,32
lacnic,2803:3100::,32
lacnic,2803:3200::,32
lacnic,2803:3600::,32
lacnic,2803:3710::,32
lacnic,2803:4580::,32
lacnic,2803:4910::,32
lacnic,2803:4920::,32
lacnic,2803:4e80::,32
lacnic,2803:50c0::,32
lacnic,2803:5180::,32
lacnic,2803:5420::,32
lacnic,2803:5580::,32
lacnic,2803:5840::,32
lacnic,2803:5b00::,32
lacnic,2803:6000::,32
lacnic,2803:6340::,32
lacnic,2803:6900::,32
lacnic,2803:6e10::,32
lacnic,2803:7810::,32
lacnic,2803:7a00::,32
lacnic,2803:7a80::,32
lacnic,2803:7f60::,32
lacnic,2803:8040::,32
lacnic,2803:8800::,32
lacnic,2803:8b20::,32
lacnic,2803:8e10::,32
lacnic,2803:9690::,32
lacnic,2803:9920::,32
lacnic,2803:9b20::,32
lacnic,2803:9ec0::,32
lacnic,2803:a6c0::,32
lacnic,2803:aa80::,32
lacnic,2803:ad40::,32
lacnic,2803:ae20::,32
lacnic,2803:b100::,32
lacnic,2803:b140::,32
lacnic,2803:b440::,32
lacnic,2803:b560::,32
lacnic,2803:b800::,32
lacnic,2803:c940::,32
lacnic,2803:d020::,32
lacnic,2803:d200::,32
lacnic,2803:d880::,32
lacnic,2803:d900::,32
lacnic,2803:daa0::,32
lacnic,2803:dcc0::,32
lacnic,2803:e300::,32
lacnic,2803:eac0::,32
lacnic,2803:ee40::,32
lacnic,2803:f340::,32
lacnic,2803:f600::,32
lacnic,2803:f800::,32
lacnic,2803:f8e0::,32
lacnic,2803:fb40::,32
lacnic,2803:fe40::,32
