region,ip,prefixlength,state
ripencc,2001:7f8:105::,48,assigned
ripencc,2a13:39c0::,32,allocated
ripencc,2a12:5ac0::,32,allocated
ripencc,2a11:b400::,29,allocated
ripencc,2a11:96c0::,29,allocated
ripencc,2a10:e800::,32,allocated
ripencc,2a10:6cc0::,29,allocated
ripencc,2a10:21c0::,29,allocated
ripencc,2a0f:b8c0::,29,allocated
ripencc,2a0c:6640::,29,allocated
ripencc,2a0b:d580::,29,allocated
ripencc,2a0a:c740::,29,allocated
ripencc,2a09:5580::,32,allocated
ripencc,2a09:1540::,32,allocated
ripencc,2a06:dac0::,29,allocated
ripencc,2a05:24c0::,29,allocated
ripencc,2a04:c400::,29,allocated
ripencc,2a03:11a0::,32,allocated
ripencc,2a02:2908::,29,allocated
ripencc,2a00:9120::,32,allocated
ripencc,2a00:11a8::,29,allocated
ripencc,2001:1670::,32,allocated
